Car_ids,Judge_ID,Judge_Name,Car_Judged,Start_Time,End_Time,Mins_Spent,Avg_Spd
230,"J04 ","Bob ",36,"2018-08-05 13:11 ","2018-08-05 17:51 ",280,7.78
33,"J09 ","Dan ",24,"2018-08-05 14:08 ","2018-08-05 17:48 ",220,9.17
75,"J09 ","Dan ",24,"2018-08-05 14:08 ","2018-08-05 17:48 ",220,9.17
175,"J06 ","Aaron ",32,"2018-08-05 13:20 ","2018-08-05 17:43 ",262,8.19
115,"J06 ","Aaron ",32,"2018-08-05 13:20 ","2018-08-05 17:43 ",262,8.19
153,"J09 ","Dan ",24,"2018-08-05 14:08 ","2018-08-05 17:48 ",220,9.17
76,"J09 ","Dan ",24,"2018-08-05 14:08 ","2018-08-05 17:48 ",220,9.17
56,"J01 ","Wayne ",31,"2018-08-05 13:47 ","2018-08-05 17:50 ",242,7.81
50,"J04 ","Bob ",36,"2018-08-05 13:11 ","2018-08-05 17:51 ",280,7.78
163,"J08 ","Danny ",5,"2018-08-05 15:26 ","2018-08-05 17:52 ",146,29.2
53,"J09 ","Dan ",24,"2018-08-05 14:08 ","2018-08-05 17:48 ",220,9.17
241,"J04 ","Bob ",36,"2018-08-05 13:11 ","2018-08-05 17:51 ",280,7.78
114,"J01 ","Wayne ",31,"2018-08-05 13:47 ","2018-08-05 17:50 ",242,7.81
41,"J04 ","Bob ",36,"2018-08-05 13:11 ","2018-08-05 17:51 ",280,7.78
116,"J05 ","Adrian ",10,"2018-08-05 13:28 ","2018-08-05 17:24 ",236,23.6
137,"J02 ","Carl ",10,"2018-08-05 13:16 ","2018-08-05 17:14 ",237,23.7
212,"J05 ","Adrian ",10,"2018-08-05 13:28 ","2018-08-05 17:24 ",236,23.6
52,"J04 ","Bob ",36,"2018-08-05 13:11 ","2018-08-05 17:51 ",280,7.78
93,"J04 ","Bob ",36,"2018-08-05 13:11 ","2018-08-05 17:51 ",280,7.78
226,"J06 ","Aaron ",32,"2018-08-05 13:20 ","2018-08-05 17:43 ",262,8.19
22,"J06 ","Aaron ",32,"2018-08-05 13:20 ","2018-08-05 17:43 ",262,8.19
70,"J06 ","Aaron ",32,"2018-08-05 13:20 ","2018-08-05 17:43 ",262,8.19
128,"J06 ","Aaron ",32,"2018-08-05 13:20 ","2018-08-05 17:43 ",262,8.19
40,"J09 ","Dan ",24,"2018-08-05 14:08 ","2018-08-05 17:48 ",220,9.17
238,"J01 ","Wayne ",31,"2018-08-05 13:47 ","2018-08-05 17:50 ",242,7.81
31,"J06 ","Aaron ",32,"2018-08-05 13:20 ","2018-08-05 17:43 ",262,8.19
71,"J04 ","Bob ",36,"2018-08-05 13:11 ","2018-08-05 17:51 ",280,7.78
18,"J05 ","Adrian ",10,"2018-08-05 13:28 ","2018-08-05 17:24 ",236,23.6
38,"J04 ","Bob ",36,"2018-08-05 13:11 ","2018-08-05 17:51 ",280,7.78
46,"J01 ","Wayne ",31,"2018-08-05 13:47 ","2018-08-05 17:50 ",242,7.81
49,"J04 ","Bob ",36,"2018-08-05 13:11 ","2018-08-05 17:51 ",280,7.78
28,"J01 ","Wayne ",31,"2018-08-05 13:47 ","2018-08-05 17:50 ",242,7.81
219,"J02 ","Carl ",10,"2018-08-05 13:16 ","2018-08-05 17:14 ",237,23.7
185,"J01 ","Wayne ",31,"2018-08-05 13:47 ","2018-08-05 17:50 ",242,7.81
162,"J03 ","Carol ",19,"2018-08-05 13:26 ","2018-08-05 17:35 ",248,13.05
180,"J01 ","Wayne ",31,"2018-08-05 13:47 ","2018-08-05 17:50 ",242,7.81
103,"J04 ","Bob ",36,"2018-08-05 13:11 ","2018-08-05 17:51 ",280,7.78
197,"J05 ","Adrian ",10,"2018-08-05 13:28 ","2018-08-05 17:24 ",236,23.6
74,"J06 ","Aaron ",32,"2018-08-05 13:20 ","2018-08-05 17:43 ",262,8.19
150,"J03 ","Carol ",19,"2018-08-05 13:26 ","2018-08-05 17:35 ",248,13.05
78,"J04 ","Bob ",36,"2018-08-05 13:11 ","2018-08-05 17:51 ",280,7.78
141,"J04 ","Bob ",36,"2018-08-05 13:11 ","2018-08-05 17:51 ",280,7.78
17,"J09 ","Dan ",24,"2018-08-05 14:08 ","2018-08-05 17:48 ",220,9.17
187,"J09 ","Dan ",24,"2018-08-05 14:08 ","2018-08-05 17:48 ",220,9.17
69,"J09 ","Dan ",24,"2018-08-05 14:08 ","2018-08-05 17:48 ",220,9.17
100,"J01 ","Wayne ",31,"2018-08-05 13:47 ","2018-08-05 17:50 ",242,7.81
112,"J04 ","Bob ",36,"2018-08-05 13:11 ","2018-08-05 17:51 ",280,7.78
172,"J01 ","Wayne ",31,"2018-08-05 13:47 ","2018-08-05 17:50 ",242,7.81
91,"J08 ","Danny ",5,"2018-08-05 15:26 ","2018-08-05 17:52 ",146,29.2
158,"J03 ","Carol ",19,"2018-08-05 13:26 ","2018-08-05 17:35 ",248,13.05
182,"J01 ","Wayne ",31,"2018-08-05 13:47 ","2018-08-05 17:50 ",242,7.81
225,"J04 ","Bob ",36,"2018-08-05 13:11 ","2018-08-05 17:51 ",280,7.78
81,"J01 ","Wayne ",31,"2018-08-05 13:47 ","2018-08-05 17:50 ",242,7.81
6,"J01 ","Wayne ",31,"2018-08-05 13:47 ","2018-08-05 17:50 ",242,7.81
121,"J04 ","Bob ",36,"2018-08-05 13:11 ","2018-08-05 17:51 ",280,7.78
211,"J04 ","Bob ",36,"2018-08-05 13:11 ","2018-08-05 17:51 ",280,7.78
186,"J01 ","Wayne ",31,"2018-08-05 13:47 ","2018-08-05 17:50 ",242,7.81
4,"J06 ","Aaron ",32,"2018-08-05 13:20 ","2018-08-05 17:43 ",262,8.19
72,"J06 ","Aaron ",32,"2018-08-05 13:20 ","2018-08-05 17:43 ",262,8.19
45,"J04 ","Bob ",36,"2018-08-05 13:11 ","2018-08-05 17:51 ",280,7.78
1051,"J04 ","Bob ",36,"2018-08-05 13:11 ","2018-08-05 17:51 ",280,7.78
84,"J09 ","Dan ",24,"2018-08-05 14:08 ","2018-08-05 17:48 ",220,9.17
118,"J06 ","Aaron ",32,"2018-08-05 13:20 ","2018-08-05 17:43 ",262,8.19
174,"J04 ","Bob ",36,"2018-08-05 13:11 ","2018-08-05 17:51 ",280,7.78
138,"J04 ","Bob ",36,"2018-08-05 13:11 ","2018-08-05 17:51 ",280,7.78
242,"J03 ","Carol ",19,"2018-08-05 13:26 ","2018-08-05 17:35 ",248,13.05
3,"J03 ","Carol ",19,"2018-08-05 13:26 ","2018-08-05 17:35 ",248,13.05
193,"J03 ","Carol ",19,"2018-08-05 13:26 ","2018-08-05 17:35 ",248,13.05
94,"J01 ","Wayne ",31,"2018-08-05 13:47 ","2018-08-05 17:50 ",242,7.81
11,"J03 ","Carol ",19,"2018-08-05 13:26 ","2018-08-05 17:35 ",248,13.05
86,"J01 ","Wayne ",31,"2018-08-05 13:47 ","2018-08-05 17:50 ",242,7.81
9,"J03 ","Carol ",19,"2018-08-05 13:26 ","2018-08-05 17:35 ",248,13.05
142,"J04 ","Bob ",36,"2018-08-05 13:11 ","2018-08-05 17:51 ",280,7.78
126,"J01 ","Wayne ",31,"2018-08-05 13:47 ","2018-08-05 17:50 ",242,7.81
144,"J01 ","Wayne ",31,"2018-08-05 13:47 ","2018-08-05 17:50 ",242,7.81
110,"J04 ","Bob ",36,"2018-08-05 13:11 ","2018-08-05 17:51 ",280,7.78
34,"J06 ","Aaron ",32,"2018-08-05 13:20 ","2018-08-05 17:43 ",262,8.19
190,"J05 ","Adrian ",10,"2018-08-05 13:28 ","2018-08-05 17:24 ",236,23.6
235,"J04 ","Bob ",36,"2018-08-05 13:11 ","2018-08-05 17:51 ",280,7.78
24,"J09 ","Dan ",24,"2018-08-05 14:08 ","2018-08-05 17:48 ",220,9.17
64,"J09 ","Dan ",24,"2018-08-05 14:08 ","2018-08-05 17:48 ",220,9.17
122,"J06 ","Aaron ",32,"2018-08-05 13:20 ","2018-08-05 17:43 ",262,8.19
106,"J04 ","Bob ",36,"2018-08-05 13:11 ","2018-08-05 17:51 ",280,7.78
113,"J04 ","Bob ",36,"2018-08-05 13:11 ","2018-08-05 17:51 ",280,7.78
13,"J06 ","Aaron ",32,"2018-08-05 13:20 ","2018-08-05 17:43 ",262,8.19
237,"J01 ","Wayne ",31,"2018-08-05 13:47 ","2018-08-05 17:50 ",242,7.81
